name,source,gender,wikidata,type
"Ίωνος Δραγούμη",wikidata,M,Q737889,way
Ιπποκράτους,wikidata,M,Q5264,way
Πλάτωνος,wikidata,M,Q859,way
Σωκράτους,wikidata,M,Q913,way
"Μάρκου Μπότσαρη",wikidata,M,Q577254,way
"Στοά Νικολούδη",wikidata,M,Q12873319,way
Αριστοτέλους,wikidata,M,Q868,way
Μνησικλέους,wikidata,M,Q347153,relation
Τσιμισκή,wikidata,M,Q41603,way
"Μιχαήλ Βόδα",wikidata,M,Q2657786,relation
"Πλατεία Κολιάτσου",wikidata,M,Q12884914,way
"Πλατεία Κοτζιά",wikidata,M,Q3566272,relation
"Πλατεία Κυψέλης",wikidata,M,Q365201,way
"Διονυσίου Αρεοπαγίτου",wikidata,M,Q310686,way
