name,source,gender,wikidata,type
Βουλιαγμένης,wikidata,,Q2714924,way
Βουκουρεστίου,wikidata,,Q500067,way
"Πλατεία Αβησσυνίας",wikidata,,Q1566832,way
"Πλατεία Ηρώων",wikidata,,Q2984834,way
Αβλιχου,,,,way
Αγλαβριδων,,,,way
Αιθαλιδων,,,,way
Ακροθωων,,,,way
Αλιτσης,,,,way
Αλτεως,,,,way
Αναβρυτης,,,,way
Αρχυτα,,,,way
Ατρινης,,,,way
Αχνιαδων,,,,way
Βαλλιανων,,,,way
Βετρινασ,,,,way
Δανια,,,,way
Δεβολη,,,,way
Δοσιθεου,,,,way
Δουμπα,,,,way
Εδισον,,,,way
Ευαγριου,,,,way
Ευπομπου,,,,way
Θειρσιου,,,,way
Ιεραπετρασ,,,,way
Ιπποθοντιδων,,,,way
Κλεισοφου,,,,way
Κλημεντος,,,,way
Κομανου,,,,way
Κορθιου,,,,way
Λιθακιας,,,,way
Μανωλιασας,,,,way
Μοισοδιακος,,,,way
Νεοφρονος,,,,way
Ντουρμ,,,,way
Ορφεψς,,,,way
Παντελη,,,,way
Παπαβερκιου,,,,way
Πασιωνος,,,,way
Περρικου,,,,way
Πιτυουντος,,,,way
Προκνης,,,,way
Ραδου,,,,way
Ροδαμανθυος,,,,way
Ρως,,,,way
Σελασιας,,,,way
Σελευκου,,,,way
Σκρα,,,,way
Σποργιλου,,,,way
Στιγνης,,,,way
Τελεστου,,,,way
Τζωρτζ,,,,way
Τιμανθους,,,,way
Τιμαρχου,,,,way
Τισικρατους,,,,way
Τριβολη,,,,way
Φαινου,,,,way
Φιλοδαμειας,,,,way
Φιλυρα,,,,way
Φλαμαριων,,,,way
Φλωρη,,,,way
Χερσιφρονος,,,,way
Χιλλ,,,,way
Χρυσανθακοπουλου,,,,way
Ψαωνος,,,,way
Ωμολ,,,,way
Ωτου,,,,way
"Αφων Χαλη",,,,way
"Καριου Α",,,,way
"Κελλη Χ",,,,way
"Μαρως Σταμου",,,,way
"Χορτον Τζορτζ",,,,way
"Ανασταση Φ.",,,,way
"Γουλιαμου Δημ.",,,,way
"Δοντα Σ.",,,,way
"Κουρτιου Ε.",,,,way
"Μουσκου Χ.",,,,way
"Μπενση Β.",,,,way
"Ρεντη Θ.",,,,way
"Σιαλου Μ.",,,,way
"Σουκα Γ.",,,,way
"Φαβη Β.",,,,way
"Φιλιου Αθ.",,,,way
"Φριζη Μ.",,,,way
"Ζαν Μωρεάς",,,,way
"Λε Ρουά",,,,way
"Παλαιας Αγοράς",,,,way
"Μακ Μίλαν",,,,way
"Πλατεια Αγίου Παντελεήμονα Αχαρνών",,,,way
"Δ. Φιλιου",,,,way
"Κ. Νερη",,,,way
"Πλ. Καναρη (Πλ. Κυψελης)",,,,way
"Αγ. Χαραλάμπους",,,,way
"Γ. Χατζηδάκη",,,,way
"Ι. Αθανασιάδου",,,,way
"Μ. Γεωργαλλά",,,,way
"Π. Κυριάκου",,,,way
"Π. Τσαλδάρη",,,,way
"Πλ. Κανάρη",,,,way
"Στ. Λάιου",,,,way
"Π. Μακρή",,,,way
"Στ. Γεροδήμου",,,,way
"Αν. Γενναδίου",,,,way
"Ανδ. Κρίκου",,,,way
"Αρ. Κουρτίδου",,,,way
"Πλ. Αγίου Νικολάου",,,,way
"Πλ. Αγίου Δημητρίου",,,,way
"Κ. Τριανταφυλλόπουλου",,,,way
"Μ. Κόρακα",,,,way
"Β. Παπαρηγοπούλου",,,,way
"Ι. Σούτσου",,,,way
"Μ. Ψελλού",,,,way
"Πλ. Αιγύπτου",,,,way
"Σ. Τριανταφύλλου",,,,way
"Συντ. Γεωργούλα Ν.",,,,way
"Αγ. Ισιδώρου",,,,way
Αρ.Βραΐλα,,,,way
Γ.Γενναδίου,,,,way
"3ης Σεπτεμβρίου",,,,way
"Galleria Κοραή",,,,way
"Τιμoλέοντος Φιλήμονος",,,,way
Άγιδος,,,,way
Άγρας,,,,way
Άκρωνος,,,,way
Άλκης,,,,way
Άλυος,,,,way
Άμπλιανης,,,,way
Άνδηρο,,,,way
Άνδρου,,,,way
Άντερσεν,,,,way
Άργους,,,,way
Άρεως,,,,way
Άρνης,,,,way
Άρτης,,,,relation
Άσκρας,,,,way
Άσσου,,,,way
